loan_amnt,total_acc,loan_status,funded_amnt,id,grade,emp_length,revol_bal,annual_inc,issue_date,addr_state
6500,7,Fully Paid,6500,1008627,B,2 years,0,56650,01/11/2011,MA
19000,29,Fully Paid,19000,1008625,D,< 1 year,19066,100000,01/11/2011,IL
21000,26,Fully Paid,21000,1003949,B,3 years,4781,90000,01/11/2011,CA
12000,33,Current,12000,1008593,B,< 1 year,7424,72000,01/11/2011,TX
2850,37,Fully Paid,2850,1008426,A,10+ years,15325,87120,01/11/2011,MD
13000,13,Fully Paid,13000,1008285,C,4 years,15076,39624,01/11/2011,WA
8000,14,Fully Paid,8000,1008377,C,3 years,7166,37000,01/11/2011,TX
1500,6,Fully Paid,1500,995470,E,< 1 year,6892,18000,01/11/2011,CA
30000,41,Fully Paid,30000,977474,B,2 years,18604,70000,01/11/2011,MN
9475,14,Fully Paid,9475,1008324,A,< 1 year,30919,62000,01/11/2011,WI
9975,63,Fully Paid,9975,1008369,D,5 years,18942,82400,01/11/2011,LA
3000,30,Fully Paid,3000,1008363,C,4 years,7853,50400,01/11/2011,NY
20900,15,Fully Paid,20900,1002752,B,2 years,12424,82000,01/11/2011,MD
30000,25,Current,30000,1002396,G,3 years,14978,130000,01/11/2011,GA
8000,11,Fully Paid,8000,1008133,A,2 years,8330,50000,01/11/2011,CA
6000,13,Fully Paid,6000,1001708,C,1 year,2327,24000,01/11/2011,TX
2600,20,Fully Paid,2600,1008126,C,10+ years,6716,74029,01/11/2011,IL
11500,19,Fully Paid,11500,1008273,A,5 years,18396,29000,01/11/2011,TX
5000,17,Fully Paid,5000,1008115,B,5 years,2245,50000,01/11/2011,MO
6500,29,Fully Paid,6500,1008119,B,3 years,25569,95000,01/11/2011,TX
14000,31,Fully Paid,14000,1008242,C,10+ years,26533,118354,01/11/2011,FL
24000,40,Fully Paid,24000,1008267,A,2 years,4826,95000,01/11/2011,MI
12150,22,Charged Off,12150,1008099,D,5 years,3080,38000,01/11/2011,VA
5800,31,Fully Paid,5800,1008254,B,10+ years,5404,72000,01/11/2011,CO
12000,23,Fully Paid,12000,1007899,C,2 years,15578,100000,01/11/2011,VA
6000,25,Fully Paid,6000,990249,A,7 years,5098,54000,01/11/2011,CT
12000,19,Fully Paid,12000,1008068,C,6 years,6693,50000,01/11/2011,NC
5000,33,Charged Off,5000,1008057,A,5 years,4258,42082,01/11/2011,FL
23000,22,Fully Paid,23000,1005957,B,1 year,12859,69500,01/11/2011,CO
2600,10,Fully Paid,2600,879841,D,n/a,2662,15000,01/11/2011,MN
3000,27,Fully Paid,3000,1008194,A,10+ years,2455,55000,01/11/2011,OH
10375,27,Fully Paid,10375,1008020,A,6 years,8351,79000,01/11/2011,VA
7200,24,Fully Paid,7200,999681,A,7 years,10465,82008,01/11/2011,NY
17725,41,Current,17725,1007997,B,10+ years,25136,57000,01/11/2011,TX
15350,33,Fully Paid,15350,1008165,C,10+ years,17580,48000,01/11/2011,WI
4200,22,Fully Paid,4200,1007959,B,9 years,14198,72000,01/11/2011,OK
4200,15,Fully Paid,4200,1001205,A,6 years,4544,69000,01/11/2011,PA
10000,29,Fully Paid,10000,1007951,A,7 years,13099,60629,01/11/2011,NY
5000,16,Fully Paid,5000,1007932,A,2 years,238,72000,01/11/2011,FL
14125,15,Fully Paid,14125,1007926,A,n/a,15551,30000,01/11/2011,GA
20000,11,Fully Paid,20000,983769,D,10+ years,15373,62000,01/11/2011,VA
9000,4,Charged Off,9000,1007751,D,2 years,13,48000,01/11/2011,FL
10000,34,Fully Paid,10000,1007918,A,4 years,14022,85000,01/11/2011,NY
10000,24,Fully Paid,10000,1006291,B,10+ years,62571,180000,01/11/2011,OH
5400,41,Fully Paid,5400,985200,A,10+ years,26562,38000,01/11/2011,TX
9000,21,Fully Paid,9000,1007892,B,6 years,10685,100000,01/11/2011,OH
4800,23,Charged Off,4800,1007711,D,1 year,7943,66000,01/11/2011,AR
24000,24,Fully Paid,24000,1007871,C,9 years,25827,134500,01/11/2011,NC
17600,22,Fully Paid,17600,1007695,D,3 years,17816,40000,01/11/2011,NY
12000,25,Fully Paid,12000,1007839,A,8 years,39063,77000,01/11/2011,CA
4925,8,Fully Paid,4925,999502,B,9 years,9124,46000,01/11/2011,WV
7200,5,Charged Off,7200,1007073,B,< 1 year,1052,31700,01/11/2011,FL
30000,63,Fully Paid,30000,1007826,E,10+ years,11411,81840,01/11/2011,CA
15000,7,Current,15000,1007647,C,1 year,2880,72000,01/11/2011,VA
20000,15,Fully Paid,20000,997316,A,3 years,6396,101000,01/11/2011,VA
8000,8,Charged Off,8000,990658,D,7 years,2408,21000,01/11/2011,NY
18000,26,Fully Paid,18000,1007619,A,6 years,327,70000,01/11/2011,CA
6400,20,Fully Paid,6400,1007778,B,3 years,2335,37000,01/11/2011,NC
9600,31,Fully Paid,9600,971035,A,4 years,3877,54000,01/11/2011,OH
7000,28,Fully Paid,7000,1007539,A,10+ years,69500,80000,01/11/2011,MO
7000,23,Fully Paid,7000,1007331,B,1 year,3249,90000,01/11/2011,CA
9600,15,Fully Paid,9600,1007317,B,10+ years,9063,59000,01/11/2011,CA
10000,34,Fully Paid,10000,1007519,A,2 years,5511,50000,01/11/2011,MI
18000,21,Fully Paid,18000,1007502,A,7 years,17687,140000,01/11/2011,CA
8400,19,Fully Paid,8400,1007513,A,10+ years,20496,72000,01/11/2011,CA
33600,33,Fully Paid,33600,999666,C,5 years,33014,111396,01/11/2011,CA
7200,38,Fully Paid,7200,1007397,B,2 years,15195,105000,01/11/2011,TX
4550,11,Fully Paid,4550,1007488,D,< 1 year,5768,30000,01/11/2011,MD
18750,18,Fully Paid,18750,1007473,D,10+ years,24149,37500,01/11/2011,GA
5600,23,Fully Paid,5600,1007291,A,10+ years,49863,192000,01/11/2011,CA
4200,21,Fully Paid,4200,1007268,B,4 years,4778,55000,01/11/2011,NC
12600,15,Charged Off,12600,1005939,B,10+ years,4675,38000,01/11/2011,AR
4800,23,Fully Paid,4800,1007257,B,10+ years,30895,54000,01/11/2011,UT
3000,14,Fully Paid,3000,1006430,A,< 1 year,25,96000,01/11/2011,PA
22000,26,Fully Paid,22000,1007428,B,5 years,27773,100800,01/11/2011,FL
20000,20,Fully Paid,20000,993472,C,10+ years,17795,71000,01/11/2011,CA
4750,16,Fully Paid,4750,1007423,A,n/a,1926,30000,01/11/2011,MN
7500,9,Fully Paid,7500,1007228,A,2 years,1314,66000,01/11/2011,IL
15000,27,Current,15000,1007408,D,< 1 year,15553,65000,01/11/2011,VA
30000,27,Fully Paid,30000,1007404,E,10+ years,29333,94325,01/11/2011,NJ
9000,63,Fully Paid,9000,1007209,A,8 years,13244,75500,01/11/2011,NH
35000,26,Fully Paid,35000,1007211,B,2 years,75688,156000,01/11/2011,CT
26000,36,Charged Off,26000,1007386,E,10+ years,23389,50000,01/11/2011,WI
6400,20,Fully Paid,6400,994720,A,4 years,13492,95000,01/11/2011,MA
10800,25,Fully Paid,10800,1006766,D,6 years,8626,48000,01/11/2011,SC
3000,11,Fully Paid,3000,1007379,C,2 years,6460,74500,01/11/2011,FL
4500,27,Fully Paid,4500,1006327,C,1 year,3102,37200,01/11/2011,FL
15000,18,Fully Paid,15000,1007154,A,10+ years,19059,65000,01/11/2011,TX
12600,20,Current,12600,928898,E,3 years,7127,55000,01/11/2011,CA
25000,30,Current,25000,1007126,B,9 years,12616,150000,01/11/2011,KY
10200,28,Fully Paid,10200,1006907,A,10+ years,18866,130000,01/11/2011,NJ
20000,10,Fully Paid,20000,1006918,B,< 1 year,22739,74000,01/11/2011,MN
7000,11,Fully Paid,7000,1007103,B,2 years,6465,90000,01/11/2011,MA
20000,58,Fully Paid,20000,1000208,B,9 years,10081,107496,01/11/2011,UT
17000,17,Fully Paid,17000,1007086,E,4 years,11246,175000,01/11/2011,NY
5000,37,Current,5000,1006771,B,10+ years,17495,79200,01/11/2011,NC
21000,24,Fully Paid,21000,1006875,B,1 year,42454,93000,01/11/2011,CA
12000,17,Fully Paid,12000,1007070,A,10+ years,35963,61000,01/11/2011,GA
24000,48,Fully Paid,24000,1002882,D,8 years,131006,228000,01/11/2011,WA
5400,15,Fully Paid,5400,1006885,C,1 year,9386,54000,01/11/2011,TX
9400,24,Current,9400,1000794,C,< 1 year,19906,62000,01/11/2011,NY
15125,31,Fully Paid,15125,1006618,C,8 years,12732,55000,01/11/2011,CA
12000,21,Fully Paid,12000,1007042,B,3 years,5578,140000,01/11/2011,TX
12000,15,Fully Paid,12000,1006845,B,8 years,8935,30000,01/11/2011,NJ
10000,17,Fully Paid,10000,1004131,A,6 years,4767,55000,01/11/2011,TX
30000,33,Charged Off,30000,1007014,B,7 years,20253,190000,01/11/2011,CA
6500,20,Fully Paid,6500,1007010,B,10+ years,2371,38492,01/11/2011,VA
8000,15,Fully Paid,8000,1006824,B,2 years,14024,30000,01/11/2011,KS
3600,26,Fully Paid,3600,1007009,B,< 1 year,14638,54000,01/11/2011,VA
7100,29,Charged Off,7100,1006812,D,< 1 year,14685,80000,01/11/2011,NY
2400,17,Fully Paid,2400,1006806,B,6 years,0,15000,01/11/2011,AZ
10950,10,Charged Off,10950,1002546,C,n/a,4825,21888,01/11/2011,CO
4000,11,Charged Off,4000,1006769,A,6 years,12683,80000,01/11/2011,PA
12600,13,Current,12600,1006607,B,10+ years,33845,64590,01/11/2011,NY
12000,21,Fully Paid,12000,1006616,E,2 years,9913,60000,01/11/2011,SC
35000,28,Fully Paid,35000,1006411,E,3 years,8857,136000,01/11/2011,CA
25000,9,Fully Paid,25000,1006405,C,8 years,7108,48000,01/11/2011,RI
5200,26,Fully Paid,5200,1006397,A,3 years,9111,70000,01/11/2011,FL
8500,13,Fully Paid,8500,1006590,A,n/a,2887,25000,01/11/2011,GA
12000,15,Charged Off,12000,1006398,B,4 years,26675,64000,01/11/2011,CA
13000,19,Fully Paid,13000,1006581,A,< 1 year,274,47000,01/11/2011,CA
1800,10,Charged Off,1800,1006579,A,9 years,1930,50400,01/11/2011,CA
10000,11,Fully Paid,10000,1002142,D,10+ years,9358,60000,01/11/2011,NC
12475,27,Fully Paid,12475,1006377,A,10+ years,18064,88000,01/11/2011,MI
3200,14,Fully Paid,3200,1006387,A,4 years,311,44000,01/11/2011,UT
5500,27,Fully Paid,5500,1004496,A,10+ years,3179,40000,01/11/2011,OR
14675,17,Charged Off,14675,1006564,E,1 year,24520,38500,01/11/2011,CT
2100,6,Fully Paid,2100,1006158,A,n/a,1127,8000,01/11/2011,NY
3825,10,Charged Off,3825,1006372,C,3 years,5010,28500,01/11/2011,IL
23200,22,Charged Off,23200,1006364,G,10+ years,8625,85000,01/11/2011,TX
5000,12,Fully Paid,5000,1006371,A,5 years,2930,100000,01/11/2011,CA
12000,18,Fully Paid,12000,1006338,C,3 years,11399,45600,01/11/2011,FL
8500,23,Fully Paid,8500,1006331,B,6 years,6402,74000,01/11/2011,NJ
12000,33,Fully Paid,12000,980234,A,4 years,13819,76800,01/11/2011,TX
31000,14,Fully Paid,31000,1004491,B,10+ years,24593,96000,01/11/2011,CA
12600,59,Fully Paid,12600,1006119,B,10+ years,23020,55172,01/11/2011,OH
7600,21,Fully Paid,7600,1006114,C,2 years,10693,33000,01/11/2011,FL
2750,6,Fully Paid,2750,1006322,D,2 years,2698,16800,01/11/2011,CA
20000,25,Fully Paid,20000,997558,B,6 years,14345,72000,01/11/2011,MA
7000,22,Fully Paid,7000,887713,A,10+ years,13708,45600,01/11/2011,MA
7000,20,Fully Paid,7000,995703,B,6 years,22554,80400,01/11/2011,SC
24000,13,Current,24000,1006097,F,2 years,4793,91200,01/11/2011,NC
13200,29,Fully Paid,13200,1004332,A,10+ years,17438,90000,01/11/2011,AZ
6000,17,Fully Paid,6000,1005015,B,7 years,2374,48000,01/11/2011,NY
35000,9,Fully Paid,35000,1006070,B,n/a,12232,185000,01/11/2011,TX
4625,21,Fully Paid,4625,1006067,B,4 years,2240,40000,01/11/2011,KS
13000,24,Fully Paid,13000,1006283,E,10+ years,14558,65000,01/11/2011,MD
11200,15,Fully Paid,11200,1004936,C,4 years,9309,50000,01/11/2011,PA
6000,38,Fully Paid,6000,1006073,A,10+ years,10890,150000,01/11/2011,IL
17600,24,Charged Off,17600,998521,E,10+ years,18284,65000,01/11/2011,OH
2500,3,Fully Paid,2500,1006259,B,2 years,376,27600,01/11/2011,FL
15000,22,Fully Paid,15000,1006032,A,< 1 year,0,130000,01/11/2011,MA
8000,10,Charged Off,8000,1006236,C,6 years,1287,36000,01/11/2011,FL
15000,62,Fully Paid,15000,1005967,B,10+ years,6802,95000,01/11/2011,AL
14000,23,Fully Paid,14000,1005050,B,1 year,5282,51996,01/11/2011,IL
3800,25,Fully Paid,3800,1005988,A,10+ years,14344,79200,01/11/2011,NY
35000,21,Charged Off,35000,1005977,B,5 years,1639,110000,01/11/2011,VA
3000,5,Fully Paid,3000,1004502,B,< 1 year,1643,14400,01/11/2011,SC
5600,7,Fully Paid,5600,1002214,C,3 years,26018,70000,01/11/2011,NY
12000,39,Fully Paid,12000,1005932,C,5 years,32025,85000,01/11/2011,HI
6000,17,Fully Paid,6000,1003910,B,n/a,10310,19200,01/11/2011,NY
27250,23,Fully Paid,27250,944529,E,10+ years,17143,78000,01/11/2011,UT
12000,28,Fully Paid,12000,1000816,A,9 years,11792,45000,01/11/2011,TX
25000,31,Fully Paid,25000,1004713,B,10+ years,11195,57600,01/11/2011,CA
13000,38,Fully Paid,13000,991475,A,8 years,20701,80000,01/11/2011,MI
8000,16,Fully Paid,8000,999662,A,< 1 year,4917,72000,01/11/2011,TX
13600,18,Fully Paid,13600,1005910,A,10+ years,1904,104000,01/11/2011,IL
30000,26,Fully Paid,30000,1005896,B,1 year,16399,103800,01/11/2011,CA
8000,20,Fully Paid,8000,990546,A,4 years,8285,52000,01/11/2011,MD
30000,17,Fully Paid,30000,973082,A,3 years,8937,200000,01/11/2011,CA
3000,6,Fully Paid,3000,1005153,B,7 years,1399,63372,01/10/2011,GA
24000,53,Fully Paid,24000,1002366,E,10+ years,26931,155000,01/11/2011,IL
15000,27,Fully Paid,15000,1005808,D,10+ years,34865,90000,01/11/2011,CA
9400,5,Fully Paid,9400,1005865,F,< 1 year,5077,60000,01/11/2011,TX
20000,32,Current,20000,1005669,C,n/a,6371,57600,01/11/2011,AZ
20000,16,Fully Paid,20000,994734,C,1 year,19002,97500,01/11/2011,GA
1300,16,Fully Paid,1300,1005831,A,3 years,7152,6000,01/11/2011,GA
10000,19,Fully Paid,10000,1000579,A,2 years,5804,45000,01/11/2011,FL
8000,28,Fully Paid,8000,1005837,A,4 years,6639,50000,01/11/2011,CA
2800,11,Current,2800,1000124,B,5 years,812,33204,01/11/2011,NJ
35000,17,Fully Paid,35000,809739,B,8 years,5246,77100,01/11/2011,CA
2700,11,Fully Paid,2700,1000138,C,2 years,884,35004,01/10/2011,NY
35000,27,Charged Off,35000,1005627,E,10+ years,39396,90000,01/11/2011,CO
19000,16,Fully Paid,19000,1004088,B,7 years,19030,76700,01/11/2011,CA
23000,23,Charged Off,23000,998222,B,10+ years,23104,70000,01/11/2011,MI
12175,33,Current,12175,1002729,B,10+ years,18125,106000,01/11/2011,CA
25000,26,Fully Paid,25000,1004353,C,10+ years,47749,62000,01/11/2011,NJ
10000,24,Fully Paid,10000,1005792,A,n/a,4795,36000,01/11/2011,CA
5000,12,Fully Paid,5000,1004157,B,3 years,4298,52273,01/10/2011,CA
12000,36,Charged Off,12000,1005145,E,2 years,9562,65000,01/11/2011,OR
25000,33,Fully Paid,25000,1005067,C,6 years,38093,60000,01/11/2011,CO
3500,27,Fully Paid,3500,1005763,A,10+ years,11071,95000,01/10/2011,UT
16000,23,Fully Paid,16000,1005771,A,4 years,2128,124000,01/11/2011,MA
20000,27,Fully Paid,20000,1005770,A,< 1 year,36546,148080,01/11/2011,WA
7500,16,Charged Off,7500,1005579,B,7 years,4813,50000,01/10/2011,NY
5000,6,Fully Paid,5000,1005170,B,5 years,973,40000,01/11/2011,NY
35000,52,Fully Paid,35000,1005168,A,6 years,31636,95000,01/11/2011,CT
10000,16,Charged Off,10000,1005161,B,9 years,9274,100000,01/11/2011,NJ
10000,24,Fully Paid,10000,1005156,E,5 years,2965,57000,01/10/2011,PA
3600,45,Fully Paid,3600,1005129,A,10+ years,12325,90000,01/10/2011,NY
5600,32,Fully Paid,5600,1004939,C,9 years,7653,48000,01/10/2011,CA
14000,26,Fully Paid,14000,997339,C,< 1 year,2907,42000,01/11/2011,PA
7575,21,Fully Paid,7575,1004908,A,6 years,18050,21600,01/11/2011,GA
23525,31,Fully Paid,23525,1004899,A,4 years,33475,62500,01/11/2011,MO
10000,8,Fully Paid,10000,978833,A,6 years,2445,54000,01/11/2011,CA
35000,34,Fully Paid,35000,1003349,D,6 years,38500,92000,01/11/2011,MD
9300,25,Fully Paid,9300,1005073,A,< 1 year,6028,45760,01/11/2011,TX
7000,12,Fully Paid,7000,1002033,B,n/a,1425,38400,01/11/2011,CA
8400,19,Fully Paid,8400,1004826,D,1 year,3694,43200,01/10/2011,AL
17000,52,Fully Paid,17000,1003398,A,10+ years,12120,70000,01/11/2011,CO
5000,15,Fully Paid,5000,1005052,B,4 years,3312,20000,01/10/2011,IL
20000,29,Fully Paid,20000,1004851,E,< 1 year,40882,75000,01/11/2011,LA
3000,26,Fully Paid,3000,1004844,D,10+ years,14667,65000,01/10/2011,KY
12000,36,Fully Paid,12000,1004771,A,4 years,10100,42000,01/10/2011,NY
15000,23,Current,15000,1003613,D,< 1 year,23785,88000,01/11/2011,CA
5500,26,Fully Paid,5500,1004685,B,4 years,7792,96000,01/11/2011,CA
1450,9,Fully Paid,1450,1003976,A,2 years,1244,24000,01/11/2011,NY
30000,18,Fully Paid,30000,999267,B,10+ years,24574,150000,01/11/2011,NY
8000,9,Fully Paid,8000,1004804,A,< 1 year,6572,50000,01/10/2011,FL
7000,6,Charged Off,7000,1004991,A,10+ years,0,27600,01/10/2011,TX
10000,9,Fully Paid,10000,1004358,C,5 years,6261,60000,01/10/2011,FL
20000,48,Fully Paid,20000,998418,B,10+ years,24796,102000,01/11/2011,NJ
6600,25,Fully Paid,6600,1000142,A,5 years,7362,47000,01/10/2011,TX
6000,18,Fully Paid,6000,910281,B,3 years,6064,30000,01/10/2011,FL
7000,32,Fully Paid,7000,1004741,D,2 years,106307,120000,01/11/2011,VA
4000,13,Fully Paid,4000,1004545,B,3 years,3845,23400,01/11/2011,MD
12350,22,Charged Off,12350,1004670,C,1 year,8493,59000,01/11/2011,NV
10000,17,Fully Paid,10000,1004484,B,10+ years,7072,52000,01/10/2011,NY
12000,19,Fully Paid,12000,895589,D,7 years,12045,60000,01/10/2011,TX
18400,19,Charged Off,18400,1004462,G,10+ years,5143,75000,01/11/2011,FL
24000,23,Fully Paid,24000,1004453,D,2 years,341,80000,01/11/2011,IL
10000,42,Fully Paid,10000,1004455,A,10+ years,13093,54000,01/11/2011,LA
20000,19,Fully Paid,20000,1003345,B,9 years,8575,36000,01/11/2011,CA
15000,16,Fully Paid,15000,994833,D,3 years,17914,52800,01/11/2011,MA
3600,8,Fully Paid,3600,1004608,C,< 1 year,1990,26400,01/10/2011,CA
11325,12,Fully Paid,11325,981387,B,7 years,18905,25920,01/10/2011,FL
25000,21,Current,25000,880757,B,10+ years,25466,68000,01/11/2011,CA
3100,16,Fully Paid,3100,1004403,C,1 year,4332,65000,01/10/2011,CA
20000,36,Fully Paid,20000,994821,A,10+ years,14342,150000,01/10/2011,NY
14400,19,Fully Paid,14400,970906,A,3 years,2617,75000,01/10/2011,VA
5850,8,Fully Paid,5850,1004142,C,6 years,9712,31200,01/11/2011,NC
5000,25,Fully Paid,5000,1004390,A,2 years,1598,124800,01/10/2011,IL
3000,37,Fully Paid,3000,1004381,A,2 years,6710,45000,01/10/2011,NJ
35000,21,Charged Off,35000,994164,B,7 years,574,88000,01/11/2011,TX
12000,8,Fully Paid,12000,1004123,B,2 years,8377,77000,01/10/2011,CA
30000,29,Fully Paid,30000,1004336,C,5 years,2134,55000,01/11/2011,NJ
20000,16,Fully Paid,20000,1004324,B,7 years,18367,50000,01/10/2011,VA
7000,24,Charged Off,7000,1004151,A,9 years,2769,43200,01/10/2011,NY
8000,12,Fully Paid,8000,1004145,A,2 years,6231,39000,01/10/2011,NY
8000,14,Fully Paid,8000,1004149,A,n/a,3270,28776,01/10/2011,GA
5000,18,Fully Paid,5000,1004136,B,6 years,40483,83000,01/10/2011,GA
17500,23,Fully Paid,17500,1004005,C,1 year,23104,85000,01/10/2011,CA
9000,16,Fully Paid,9000,1004138,A,4 years,10222,58800,01/10/2011,CA
6000,44,Fully Paid,6000,1004071,C,10+ years,649,79416,01/10/2011,MN
8000,8,Fully Paid,8000,1004134,D,7 years,6034,48661,01/10/2011,CA
7200,22,Charged Off,7200,1004114,B,6 years,12963,30000,01/10/2011,CA
7500,16,Fully Paid,7500,1004112,D,9 years,13842,120000,01/10/2011,NJ
2500,9,Fully Paid,2500,1004099,B,2 years,2234,24000,01/10/2011,OK
6000,29,Fully Paid,6000,953085,B,< 1 year,7316,40000,01/11/2011,WI
13200,14,Fully Paid,13200,1004274,A,1 year,1531,60000,01/10/2011,CA
16800,18,Fully Paid,16800,1002063,B,< 1 year,971,52000,01/11/2011,CA
7500,13,Charged Off,7500,1004215,A,5 years,0,50000,01/10/2011,OR
6000,22,Fully Paid,6000,1004079,A,3 years,2983,41000,01/10/2011,TX
17950,28,Fully Paid,17950,890697,B,n/a,10376,35880,01/11/2011,PA
9525,13,Fully Paid,9525,1004240,D,8 years,6797,50000,01/11/2011,NC
12000,20,Fully Paid,12000,1004050,A,< 1 year,16947,65000,01/10/2011,CA
5000,32,Fully Paid,5000,1004229,B,n/a,2791,70116,01/11/2011,MN
14000,63,Fully Paid,14000,1004227,B,10+ years,8425,74700,01/11/2011,WI
13000,27,Fully Paid,13000,1004057,C,< 1 year,52166,76800,01/10/2011,CA
30000,21,Fully Paid,30000,1003485,C,10+ years,28285,57048,01/11/2011,PA
9000,22,Charged Off,9000,1004175,A,2 years,13646,34320,01/10/2011,TX
10000,24,Charged Off,10000,1004044,A,10+ years,4272,55000,01/10/2011,CA
15850,15,Current,15850,928485,C,10+ years,5601,40000,01/11/2011,AZ
6000,32,Fully Paid,6000,1004019,A,10+ years,9142,54000,01/10/2011,NY
15000,30,Fully Paid,15000,1004016,A,7 years,7,96000,01/11/2011,NV
8975,14,Fully Paid,8975,1004013,A,4 years,10834,32500,01/10/2011,SC
8000,14,Charged Off,8000,1004167,A,1 year,6609,40000,01/10/2011,OH
11975,33,Fully Paid,11975,1004168,A,5 years,11387,50000,01/10/2011,CA
21000,26,Fully Paid,21000,1001397,D,10+ years,103774,110256,01/11/2011,NY
11000,27,Fully Paid,11000,1003994,A,10+ years,34625,144000,01/11/2011,NH
15000,28,Fully Paid,15000,1003972,A,2 years,21645,200000,01/10/2011,CA
8000,23,Charged Off,8000,1003925,B,9 years,624,50000,01/10/2011,GA
11200,17,Fully Paid,11200,987614,C,10+ years,7119,68000,01/10/2011,MA
3200,9,Fully Paid,3200,1003896,B,2 years,2932,22000,01/10/2011,AZ
8400,22,Fully Paid,8400,1003619,B,10+ years,558,50400,01/10/2011,GA
2400,44,Charged Off,2400,1003771,E,10+ years,39864,150000,01/11/2011,NC
7000,18,Fully Paid,7000,1003716,D,8 years,5823,62000,01/10/2011,FL
6000,20,Fully Paid,6000,1003713,C,5 years,16547,98000,01/10/2011,NJ
9600,31,Charged Off,9600,1003708,C,10+ years,15726,68000,01/11/2011,NJ
13000,20,Fully Paid,13000,1003704,B,< 1 year,7272,90000,01/11/2011,CA
5150,19,Fully Paid,5150,1003699,B,4 years,15902,50400,01/10/2011,MN
15000,16,Fully Paid,15000,1003669,C,4 years,73,120000,01/11/2011,TX
7500,32,Fully Paid,7500,1003668,A,1 year,9193,90000,01/10/2011,NY
15850,19,Charged Off,15850,977839,C,6 years,7143,38397,01/11/2011,TX
6000,8,Fully Paid,6000,1003645,A,2 years,2510,27040,01/10/2011,VA
10000,37,Fully Paid,10000,1002746,A,1 year,8045,35000,01/10/2011,FL
15000,14,Charged Off,15000,1003633,F,5 years,14895,92000,01/10/2011,CT
1500,18,Fully Paid,1500,1002456,D,10+ years,6423,60000,01/10/2011,NJ
20000,27,Charged Off,20000,1002291,F,5 years,5010,79864,01/11/2011,VA
21000,32,Fully Paid,21000,1003567,B,10+ years,37313,65000,01/11/2011,WI
12000,14,Fully Paid,12000,1001407,B,10+ years,14728,40008,01/10/2011,OH
30000,32,Fully Paid,30000,1002603,C,1 year,43209,93000,01/11/2011,KY
12000,29,Fully Paid,12000,1003593,D,10+ years,6640,62208,01/10/2011,WI
5000,27,Fully Paid,5000,1003594,A,2 years,3520,60000,01/10/2011,GA
30000,26,Charged Off,30000,1003549,B,10+ years,15196,97000,01/10/2011,MI
11250,24,Fully Paid,11250,1003568,C,2 years,19226,40000,01/10/2011,NY
12000,17,Fully Paid,12000,1003356,A,n/a,7657,60000,01/10/2011,TX
7800,12,Fully Paid,7800,1003525,B,< 1 year,2338,45000,01/10/2011,NY
30000,17,Fully Paid,30000,1003513,B,6 years,4575,81996,01/11/2011,CA
17000,13,Fully Paid,17000,1003335,A,5 years,2758,60000,01/10/2011,FL
14000,39,Fully Paid,14000,1003506,A,10+ years,27143,94800,01/10/2011,CA
2500,14,Fully Paid,2500,997828,A,2 years,2435,35000,01/10/2011,MI
15000,8,Fully Paid,15000,1002809,D,5 years,12449,50000,01/11/2011,KS
24000,22,Fully Paid,24000,1003298,B,6 years,927,95000,01/11/2011,NY
9000,45,Fully Paid,9000,1002150,A,1 year,12753,55000,01/11/2011,AL
17050,13,Charged Off,17050,1003451,B,4 years,15748,30660,01/11/2011,AZ
3000,12,Current,3000,1003267,B,6 years,9070,90000,01/10/2011,NY
1925,18,Fully Paid,1925,1003444,A,3 years,11954,30000,01/11/2011,CO
35000,31,Fully Paid,35000,1003229,E,10+ years,56470,135000,01/11/2011,KY
6625,26,Current,6625,989598,C,6 years,9646,25995,01/11/2011,MO
1000,13,Fully Paid,1000,1002710,A,3 years,5824,40000,01/10/2011,SC
21600,10,Fully Paid,21600,1002635,C,1 year,5434,60000,01/11/2011,FL
4200,15,Fully Paid,4200,1002859,B,6 years,15720,107004,01/11/2011,CT
12850,17,Charged Off,12850,1002894,G,3 years,686,60000,01/11/2011,CA
4800,21,Fully Paid,4800,1002888,A,2 years,10913,36000,01/10/2011,CO
4200,32,Fully Paid,4200,1002790,B,3 years,279,30000,01/10/2011,NV
5000,48,Fully Paid,5000,1003077,A,10+ years,116794,148350,01/10/2011,UT
16000,41,Fully Paid,16000,1002880,C,7 years,32078,56033,01/10/2011,NJ
12800,44,Current,12800,1002878,B,< 1 year,18393,98300,01/11/2011,GA
19850,10,Fully Paid,19850,1002862,B,10+ years,17856,53313,01/10/2011,CA
20000,36,Fully Paid,20000,1001323,C,3 years,22329,90000,01/11/2011,PA
15000,18,Fully Paid,15000,999179,B,6 years,22486,45000,01/11/2011,WV
8000,32,Fully Paid,8000,1003045,B,7 years,7841,160000,01/10/2011,IL
15000,8,Fully Paid,15000,1003040,A,7 years,14322,60000,01/10/2011,CA
3000,16,Fully Paid,3000,1003047,C,1 year,10755,30000,01/10/2011,NY
21850,63,Charged Off,21850,1003031,D,10+ years,44922,50000,01/11/2011,FL
4000,11,Fully Paid,4000,998240,B,2 years,5304,115000,01/10/2011,CA
34000,31,Charged Off,34000,1003025,B,4 years,35343,85800,01/11/2011,NC
20000,36,Fully Paid,20000,1002813,E,10+ years,19099,175000,01/11/2011,CA
28000,43,Fully Paid,28000,999532,A,10+ years,36848,320000,01/10/2011,CA
14000,36,Current,14000,980552,D,10+ years,13825,77000,01/11/2011,OH
